correct,incorrect
clear,clera
acquire,acquire
opinion,oppinion
neighboring,neigbouring
judiciary,judisuary
consensus,concensus
restraint,restraunt
archetype,archtype
allophones,allopones
resided,recided
blame,blaim
misdemeanour,misdemenor
campaigns,campains
consonant,consonent
exaggerate,exagerrate
orally,erally
subtraction,substraction
targeting,targetting
vegetable,vegitable
commemorated,commmemorated
sponsored,sponzored
strength,strenght
a_lot,alot
pantomime,pantomine
themselves,themselfs
strategies,startegies
explain,expalin
majority,marjority
impedance,impedence
contemporaneous,contemporaneus
regardless,irregardless
character,carachter
beginning,begining
believed,beleived
seize,sieze
levitate,levetate
accomplishment,acomplishment
particularly,particularily
like,like
presidential,presidental
symmetrically,symetrically
journeys,journies
discovered,discovered
phenomenally,phenomenonly
metamorphosis,metamorphysis
shouldn't,shoudln
really,relaly
toward,towrad
perturbations,perturbations
metallurgical,metalurgical
conqueror,conquerer
commemorated,commmemorated
this,tihs
indefinitely,indefinately
field,fiel
extraordinarily,extrordinarily
between,vetween
resistant,resistant
primitively,primitively
cervical,cervical
converters,convertors
determining,determinining
there,ther
evidently,evidentally
primitive,primative
quizzes,quizes
stylus,stilus
Franciscans,Fransiscans
strenuous,strenous
drumming,druming
cooperation,coorperation
milieu,mileau
election,election
thief,theif
covenant,convenant
ceremony,ceremony
controversial,controvercial
millennium,millenium
barbecue,barbeque
proclaiming,proclaming
sponsored,sponzored
restraint,restraunt
metallurgy,metalurgy
allegiance,alegience
heterogeneous,heterogenous
susceptible,suseptible
liaison,liason
wielded,weilded
prerogative,perogative
cemetery,cemetarey
proceeding,proceding
midwives,midwifes
thief,theif
Mediterranean,Mediteranean
breakthrough,breakthough
adolescent,adolecent
believes,belives
size,sieze
charismatic,carismatic
archetype,archtype
insidious,ecidious
airports,airporta
receipt,reciept
burying,buring
anonymity,anonymity
since,sinse
prohibition,prohabition
airborne,airbourne
Celsius,Celcius
carnivorous,carniverous
dispensing,dispencing
happened,happened
pheromone,feromone
collateral,colateral
misogyny,misogyny
mathematics,mathamatics
Massachusetts,Massachussetts
exaggerates,exagerates
immigration,immigration
pastime,pasttime
absorption,absorbsion
Caracas,carcas
organ,orgin
apart,appart
dispense,dispence
algorithms,algorithms
rigor,rigeur
proselytizing,proselytizing
majority,marjority
Catiline,Cataline
abandoned,abondoned
elephant,elphant
flourish,fluorish
Nuremberg,Nuremburg
working,wokring
accustomed,acustommed
north,noth
appearances,appearances
fundamental,fundametal
satyr,sotyr
entrepreneurs,entrepeneurs
some,some
considered,consdidered
expects,spects
begging,beggin
corresponds,corrisponds
contemporary,contamporary
trilogy,triology
phial,fiel
marketing,marketting
acquiring,aquiring
anomalous,anomolous
surprising,surprizing
intuitively,intutively
deciduous,ecidious
abandon,abondon
again,agian
determining,determinining
enamoured,enamoured
colonies,collonies
ceremonial,ceremonial
androgyny,androgeny
constituent,constituant
allusion,alusion
resembled,ressembled
poison,poisin
persuade,persuade
Franciscan,Fransiscan
knows,knwos
intelligence,inteligence
Celsius,Celcius
beneficiary,beneficary
essence,essense
comparison,comparison
mathematician,mathematician
imitating,immitating
omnivorous,omniverous
Spanish,spainish
mucous,mucuous
surveyor,surveyor
pilgrimages,pilgrimmages
administrative,adminstrative
blessing,blessing
pronunciation,pronounciation
parenthesis,paranthesis
condition,condidtion
begin,beggin
leisure,liesure
levitating,levetating
about,boaut
polluting,poluting
permissible,permissable
decomposing,decompositing
conform,coform
asteroid,asteriod
no_one,noone
pitch,pich
paid,payed
Japanese,Japanes
university,univesity
surprised,suprized
occur,occurr
graffiti,grafitti
innumerable,inumerable
lot,alot
introduced,introduced
consensus,concensus
harassing,harrasing
extravagant,extravagent
suppresses,supresses
abandoned,abondoned
grammatically,grammaticaly
dispense,dispence
real,rela
year,eyar
ideology,idealogy
fled,fleed
not,onot
make,amke
algebraic,algebraical
separately,seperately
dependence,dependance
scalable,scaleable
possible,possable
continuous,continous
surreptitiously,surreptiously
conservative,conservitive
engineers,engieneers
involvement,involvment
disobedience,disobedience
countries,countries
believing,believing
